Game_ID,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Weighted
4532,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.40,0.41,10.57,20.81,95.00,80.00,9.00,1588,Rockstar North,M,158156
14494,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.00,50.00,8.20,3994,Rockstar North,M,102044
2873,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.00,62.00,8.70,730,Rockstar North,M,95123.5
8729,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.00,86.00,7.90,2951,Rockstar North,M,92792.28
14495,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.00,58.00,8.10,3711,Rockstar North,M,91535.02
15048,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.00,66.00,8.30,2899,Rockstar North,M,80729.22
2381,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.30,1.30,13.10,97.00,56.00,8.50,664,DMA Design,M,71159.2
10185,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.20,0.21,0.98,6.66,96.00,105.00,8.80,5187,Naughty Dog,T,67132.8
8730,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.50,98.00,64.00,7.50,2833,Rockstar North,M,65856
12866,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.00,97.00,8.30,3712,Naughty Dog,T,60147.76
11620,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.70,1.95,0.09,0.58,6.32,95.00,96.00,9.00,2316,Rockstar San Diego,M,57638.4
14496,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.00,98.00,9.10,8003,Naughty Dog,M,54649.7
6283,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.60,0.68,7.15,95.00,73.00,9.00,1658,Nintendo,T,49585.25
8731,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.00,82.00,8.70,3558,Kojima Productions,M,46170.92
11619,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.00,73.00,8.80,2456,Rockstar San Diego,M,45008.15
11621,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.80,92.00,101.00,8.70,2633,SCE Santa Monica,M,44601.6
5310,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.90,2.81,0.24,1.73,7.69,88.00,65.00,7.60,451,Rockstar Leeds,M,43986.8
10187,Assassin's Creed II,X360,2009,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.00,82.00,8.80,1305,Ubisoft Montreal,M,38818.8
12868,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.00,87.00,8.70,1472,Rocksteady Studios,T,38681.94
10186,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.00,70.00,8.60,1202,Ubisoft Montreal,M,35353.5
2875,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.60,0.99,0.89,0.13,4.60,96.00,80.00,8.90,968,Nintendo,E,35328
10190,Resident Evil 5,PS3,2009,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84.00,76.00,7.50,667,Capcom,M,32494.56
5311,God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94.00,75.00,8.90,997,SCE Santa Monica,M,31372.5
15609,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.00,78.00,8.10,1264,Bluepoint Games,T,30990.96
15610,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.10,0.64,3.95,87.00,89.00,7.60,2679,Rocksteady Studios,M,30584.85
12873,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2.03,1.16,0.37,0.38,3.95,93.00,81.00,8.00,1958,Nintendo,E10+,29755.35
14498,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.80,1.39,1.11,0.29,4.59,86.00,74.00,8.40,458,Next Level Games,E,29210.76
7420,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.00,66.00,8.10,2306,"Naughty Dog, SCE/WWS",T,28575.36
15612,Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,93.00,86.00,8.20,3943,"Kojima Productions, Moby Dick Studio",M,27273.18
13803,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.00,61.00,6.70,1196,Ubisoft,M,27105.96
10191,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,91.00,70.00,8.90,1122,Rocksteady Studios,T,26945.1
13800,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.00,37.00,6.60,348,Electronic Arts,E,26568.96
7422,God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,93.00,70.00,8.90,709,SCE Santa Monica,M,26495.7
10192,Resident Evil 5,X360,2009,Action,Capcom,2.11,0.93,0.12,0.34,3.50,83.00,91.00,7.50,523,Capcom,M,26435.5
4533,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1.46,0.00,0.83,1.93,4.23,91.00,68.00,9.30,955,KCEJ,M,26175.24
7418,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.85,1.80,0.95,0.48,5.08,90.00,57.00,8.00,416,Nintendo,E,26060.4
15051,Watch Dogs,PS4,2014,Action,Ubisoft,1.40,1.90,0.11,0.64,4.05,80.00,80.00,6.30,2996,Ubisoft Montreal,M,25920
12872,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,80.00,77.00,7.20,564,Ubisoft Montreal,M,25810.4
11622,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,2.85,0.38,0.03,0.24,3.49,89.00,81.00,8.30,693,Ubisoft Montreal,M,25159.41
10193,Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,2.20,0.95,0.02,0.31,3.48,92.00,78.00,8.70,1080,Rocksteady Studios,T,24972.48
10197,inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,1.76,0.68,0.12,0.37,2.93,85.00,98.00,8.30,1172,Sucker Punch,T,24406.9
2382,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.00,42.00,8.70,1026,KCEJ,M,24393.6
8734,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,1.48,1.00,0.04,0.66,3.18,91.00,79.00,8.60,565,Ready at Dawn,M,22861.02
14501,The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,1.40,1.01,0.46,0.23,3.10,91.00,81.00,8.90,1057,Nintendo,E,22850.1
15615,Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48,92.00,100.00,8.60,6383,From Software,M,22816
13802,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.00,41.00,6.90,1307,Ubisoft,M,22478.25
13804,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.00,48.00,6.10,403,Electronic Arts,E,22291.2
15613,Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76.00,86.00,6.80,1319,Ubisoft Quebec,M,22157.04
12867,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.00,42.00,8.60,2162,Rocksteady Studios,T,22095.36
6284,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.70,1.99,0.16,1.18,5.03,86.00,50.00,8.00,150,Rockstar Leeds,M,21629
10194,The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,1.40,0.91,0.74,0.26,3.31,87.00,75.00,7.80,228,Nintendo,E10+,21597.75
15055,Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.43,0.05,0.47,2.96,84.00,85.00,8.10,1886,Monolith Productions,M,21134.4
15056,inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.28,0.98,0.07,0.46,2.79,80.00,90.00,7.90,2944,Sucker Punch,T,20088
8737,Saints Row 2,X360,2008,Action,THQ,1.94,0.79,0.02,0.28,3.03,81.00,75.00,8.10,307,Volition Inc.,M,18407.25
8732,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,2.40,1.01,0.00,0.36,3.76,77.00,60.00,7.50,66,Traveller's Tales,E10+,17371.2
15616,The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.15,0.55,0.47,0.17,2.34,89.00,82.00,9.00,478,GREZZO,E10+,17077.32
12875,Saints Row: The Third,X360,2011,Action,THQ,1.25,1.14,0.07,0.30,2.76,84.00,70.00,7.60,490,Volition Inc.,M,16228.8
14507,God of War: Ascension,PS3,2013,Action,Sony Computer Entertainment,1.23,0.63,0.04,0.35,2.25,80.00,89.00,7.50,914,SCE Santa Monica,M,16020
16215,Far Cry: Primal,PS4,2016,Action,Ubisoft,0.60,1.25,0.06,0.35,2.26,76.00,91.00,6.30,635,Ubisoft Montreal,M,15630.16
11623,Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft,1.87,0.55,0.11,0.29,2.82,90.00,59.00,8.20,791,Ubisoft Montreal,M,14974.2
8738,Star Wars: The Force Unleashed,X360,2008,Action,LucasArts,1.74,0.77,0.00,0.26,2.77,73.00,74.00,6.70,389,LucasArts,T,14963.54
15054,Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2.27,0.90,0.00,0.33,3.50,72.00,59.00,4.10,1005,"Ubisoft, Ubisoft Montreal",M,14868
6290,Dead Rising,X360,2006,Action,Capcom,1.16,0.64,0.08,0.20,2.08,85.00,82.00,7.60,520,Capcom,M,14497.6
13806,Guild Wars 2,PC,2012,Action,NCSoft,0.96,1.07,0.00,0.27,2.31,90.00,69.00,7.90,2954,ArenaNet,T,14345.1
4535,Spider-Man 2,PS2,2004,Action,Activision,1.75,1.20,0.02,0.43,3.41,80.00,50.00,8.90,106,Treyarch,T,13640
12884,inFAMOUS 2,PS3,2011,Action,Sony Computer Entertainment,1.05,0.47,0.08,0.22,1.82,83.00,90.00,8.40,932,Sucker Punch,T,13595.4
6285,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1.56,1.40,0.07,0.50,3.54,78.00,49.00,7.80,112,Rockstar Leeds,M,13529.88
5321,Resident Evil 4,GC,2005,Action,Capcom,0.98,0.42,0.22,0.06,1.69,96.00,82.00,9.40,767,Capcom,M,13303.68
5312,Resident Evil 4,PS2,2005,Action,Capcom,2.08,0.83,0.46,0.25,3.62,96.00,38.00,8.90,1013,Capcom,M,13205.76
12870,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.41,2.01,0.10,0.70,4.22,80.00,39.00,7.50,613,Ubisoft Montreal,M,13166.4
6289,Saints Row,X360,2006,Action,THQ,1.17,0.77,0.02,0.22,2.18,81.00,74.00,7.50,211,Volition Inc.,M,13066.92
2879,Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,1.85,1.04,0.00,0.13,3.02,93.00,46.00,8.50,121,Ubisoft Montreal,T,12919.56
12877,Dead Island,X360,2011,Action,Deep Silver,1.48,0.69,0.00,0.20,2.37,71.00,75.00,6.90,627,Techland,M,12620.25
8733,LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,2.04,1.02,0.00,0.32,3.38,76.00,49.00,7.90,75,Traveller's Tales,E10+,12587.12
2878,The Getaway,PS2,2002,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54,72.00,49.00,6.80,88,Team Soho,M,12489.12
2874,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.70,4.67,82.00,32.00,8.20,78,Stormfront Studios,T,12254.08
11628,Metal Gear Solid: Peace Walker,PSP,2010,Action,Konami Digital Entertainment,0.46,0.41,0.96,0.24,2.06,89.00,66.00,8.90,443,Kojima Productions,T,12100.44
1662,Driver,PS,1999,Action,GT Interactive,3.11,2.80,0.02,0.33,6.27,87.00,22.00,8.10,78,Reflections Interactive,T,12000.78
10198,God of War Collection,PS3,2009,Action,Sony Computer Entertainment,1.70,0.44,0.06,0.40,2.60,91.00,50.00,8.70,529,Bluepoint Games,M,11830
8741,Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.66,0.00,0.29,2.00,88.00,67.00,8.80,545,EA Redwood Shores,M,11792
14499,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1.33,1.68,0.13,0.57,3.71,88.00,36.00,8.10,840,Ubisoft,M,11753.28
16217,No Man's Sky,PS4,2016,Action,Hello Games,0.63,0.76,0.03,0.27,1.70,71.00,94.00,4.50,5096,Hello Games,T,11345.8
1278,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.00,20.00,9.40,918,KCEJ,M,11336.4
15052,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70.00,40.00,4.90,2050,"Ubisoft, Ubisoft Montreal",M,11088
11648,Alan Wake,X360,2010,Action,Microsoft Game Studios,0.66,0.50,0.05,0.13,1.33,83.00,100.00,8.10,1156,Remedy Entertainment,T,11039
5315,Devil May Cry 3: Dante's Awakening,PS2,2005,Action,Capcom,0.99,0.63,0.29,0.19,2.09,84.00,60.00,9.00,212,Capcom,M,10533.6
